name,code,country,lat,lon,elev,style,rwdir,rwlen,freq,desc
"9 KRIZU",9KRIZU,CZ,4916.317N,01616.550E,0.0m,1,,,,"MOTOREST"
"9 SKAL",9SKAL,CZ,4940.233N,01601.850E,836.0m,7,,,,"VRCHOL"
"ADAMOV",ADAMOV,CZ,4918.067N,01639.267E,0.0m,1,,,,"KOSTEL"
"ALBRECHTICE",ALBRE,CZ,5010.133N,01734.667E,0.0m,1,,,,"NADRAZI"
"AS",AS,CZ,5013.133N,01210.983E,600.0m,1,,,,"NADRAZI"
"BASKA",BASKA,CZ,4938.567N,01821.133E,336.0m,2,1,300.0m,"125,825","SLZ PLOCHA"
"BECOV",BECOV,CZ,5005.233N,01250.383E,609.0m,1,,,,"ZAMEK"
"BECHYNE",BECHYN,CZ,4916.417N,01430.167E,0.0m,3,0,0.0m,,"STREDPLOCHY"
"BENATKY NAD JIZEROU",BENATK,CZ,5017.333N,01449.533E,0.0m,1,,,,"MOST"
"BEZDEKOV",BEZDEKOV,CZ,4917.633N,01610.983E,0.0m,1,,,,"KOSTEL"
"BEZDEZ",BEZDEZ,CZ,5032.317N,01443.217E,0.0m,1,,,,"ZRICENINA"
"BEZVEROV",BEZVER,CZ,4959.667N,01303.383E,0.0m,1,,,,"KOSTEL"
"BILA VODA",BVODA,CZ,5026.567N,01654.750E,0.0m,1,,,,"KOSTEL"
"BILINA",BILINA,CZ,5032.950N,01346.350E,0.0m,1,,,,"MOST"
"BILOVEC",BILOVE,CZ,4945.200N,01800.833E,0.0m,1,,,,"NADRAZI"
"BITOV",BITOV,CZ,4856.633N,01541.983E,428.0m,1,,,,"ZAMEK"
"BLANIK",BLANIK,CZ,4938.617N,01452.333E,0.0m,1,,,,"ROZHLEDNA"
"BLANSKO",BLANSK,CZ,4921.633N,01638.450E,0.0m,1,,,,"MOST"
"BLATNA",BLATNA,CZ,4925.600N,01352.633E,500.0m,1,,,,"KOSTEL"
"BLOVICE",BLOVIC,CZ,4934.883N,01331.883E,478.0m,1,,,,"NADRAZI"
"BOHDALOV",BOHDAL,CZ,4928.850N,01552.400E,0.0m,1,,,,"KOSTEL"
"BOHDANEC",BOHDAN,CZ,4946.633N,01513.433E,450.0m,1,,,,"KOSTEL"
"BOJKOVICE",BOJKOV,CZ,4902.233N,01748.283E,0.0m,1,,,,"CENTRUM"
"BOLERADICE",BOLERA,CZ,4857.750N,01650.233E,198.0m,2,7,480.0m,"125,825","SLZ PLOCHA"
"BOREK",BOREK,CZ,5012.583N,01439.567E,170.0m,2,17,550.0m,"118,750","SLZ PLOCHA"
"BORITOV",BORITO,CZ,4925.883N,01635.517E,380.0m,2,2,850.0m,"125,825","SLZ PLOCHA"
"BOROVA",BOROVA,CZ,4944.600N,01609.750E,650.0m,1,,,,"NADRAZI"
"BOSKOVICE",BOSKOV,CZ,4929.500N,01639.067E,365.0m,1,,,,"NADRAZI"
"BOUBIN",BOUBIN,CZ,4859.450N,01349.033E,1362.0m,1,,,,"VRCHOL"
"BOUZOV",BOUZOV,CZ,4942.333N,01653.417E,440.0m,1,,,,"HRAD"
"BRANDYS NAD LABEM",BRANDY,CZ,5011.200N,01439.683E,0.0m,1,,,,"CENTRUM"
"BRANDYS NAD ORLICI",BRANOR,CZ,5000.100N,01617.200E,0.0m,1,,,,"KOSTEL"
"BRANNA",BRANNA,CZ,5008.817N,01700.867E,633.0m,1,,,,"NADRAZI"
"BRATROUCHOV",BRATRO,CZ,5042.400N,01528.967E,0.0m,1,,,,"CHATA"
"BRECLAV",BRECLA,CZ,4845.333N,01653.767E,0.0m,1,,,,"NADRAZI"
"BREZI",BREZI,CZ,4920.667N,01613.033E,530.0m,1,,,,"KOSTEL"
"BREZNICE",BREZNI,CZ,4932.667N,01356.667E,470.0m,1,,,,"KOSTEL"
"BREZOVA N SVITAVOU",BREZSV,CZ,4938.783N,01630.967E,0.0m,1,,,,"KOSTEL"
"BRIDLICNA",BRIDLC,CZ,5002.100N,01711.083E,1358.0m,7,,,,"VRCHOL"
"BRUNTAL",BRUNTA,CZ,4959.617N,01728.467E,431.0m,1,,,,"NADRAZI"
"BUCOV",BUCOV,CZ,5008.617N,01329.400E,432.0m,1,,,,"KRIZOVATKA"
"BUDISOV N BUDISOVKOU",BUDISO,CZ,4947.683N,01737.667E,0.0m,1,,,,"KOSTEL"
"BUCHLOV",BUCHLO,CZ,4906.417N,01718.800E,192.0m,1,,,,"HRAD"
"BUCHTUV KOPEC",BUCHTU,CZ,4939.617N,01608.100E,810.0m,7,,,,"VRCHOL"
"BUKOVA HORA",BUKHOR,CZ,5040.300N,01413.550E,0.0m,1,,,,"VYSILAC"
"BURANOS AIRES",BURAIR,CZ,5000.517N,01402.117E,440.0m,2,9,450.0m,"125,825","SLZ PLOCHA"
"BYNOVEC",BYNOVE,CZ,5049.550N,01416.033E,380.0m,2,7,400.0m,"122,8","SLZ PLOCHA"
"BYSTRICE P PERNSTEJNEM",BYSPER,CZ,4931.350N,01515.683E,532.0m,1,,,,"KOSTEL"
"CASLAV",CASLAV,CZ,4956.400N,01523.017E,241.0m,5,60,0.0m,,"LETISTE"
"CEBIN",CEBIN,CZ,4918.750N,01628.650E,0.0m,1,,,,"KOSTEL"
"CECHTICE",CECHTI,CZ,4937.350N,01502.883E,0.0m,1,,,,"KOSTEL"
"CERNA HORA",CERHOR,CZ,5039.100N,01544.500E,1300.0m,8,,,,"VYSILAC"
"CERVENA",CERVEN,CZ,4922.317N,01415.950E,0.0m,1,,,,"CERVENANVLT"
"CERVENA LHOTA",CERVLH,CZ,4914.800N,01453.167E,0.0m,1,,,,"ZAMEK"
"CERVENA VODA",CERVOD,CZ,5002.433N,01644.650E,0.0m,1,,,,"KOSTEL"
"CERVENY KOSTELEC",CERKOS,CZ,5028.650N,01605.767E,0.0m,1,,,,"NAMESTI"
"CESKA SKALICE",CESKAL,CZ,5023.717N,01603.267E,0.0m,1,,,,"NADRAZI"
"CESKA TREBOVA",CETREB,CZ,4954.217N,01626.667E,0.0m,1,,,,"CENTRUM"
"CESKE BUDEJOVICE",LKCBUD,CZ,4856.800N,01425.750E,433.0m,5,60,0.0m,"122.600","LETISTE"
"CESKY BROD",CEBROD,CZ,5003.850N,01453.417E,0.0m,1,,,,"VYSILAC"
"CESKY DUB",CESDUB,CZ,5040.733N,01459.950E,380.0m,2,1,370.0m,"125,825","SLZ PLOCHA"
"CESKY KRUMLOV",CEKRUM,CZ,4849.000N,01419.067E,0.0m,1,,,,"CENTRUM"
"CESTIN",CESTIN,CZ,4948.450N,01506.133E,500.0m,1,,,,"KOSTEL"
"CIMELICE",CIMELI,CZ,4928.217N,01404.617E,0.0m,1,,,,"NADRAZI"
"CL RAMS",CLRAMS,CZ,5038.500N,01432.483E,300.0m,2,13,600.0m,"120,675","SLZ PLOCHA"
"CUKRAK",CUKRAK,CZ,4956.233N,01421.383E,0.0m,1,,,,"VYSILAC"
"DACICE",DACICE,CZ,4904.800N,01526.033E,577.0m,1,,,,"KOSTEL"
"DARKO",DARKO,CZ,4937.933N,01554.167E,590.0m,1,,,,"RYBNIK"
"DEBLIN",DEBLIN,CZ,4919.367N,01620.817E,0.0m,1,,,,"KOSTEL"
"DECIN",DECIN,CZ,5046.400N,01412.467E,0.0m,1,,,,"MOST"
"DECINSKY SNEZNIK",DESNEZ,CZ,5047.567N,01406.117E,722.0m,7,,,,"VRCHOL"
"DESTNE V ORL HORACH",DESTNE,CZ,5018.200N,01620.900E,0.0m,1,,,,"KOSTEL"
"DETRICHOV",DETRIC,CZ,4943.767N,01707.100E,225.0m,2,14,450.0m,"120,675","SLZ PLOCHA"
"DEVIN",DEVIN,CZ,4852.083N,01638.967E,549.0m,7,,,,"VRCHOL"
"DOBRIS",DOBRIS,CZ,4946.833N,01410.067E,0.0m,1,,,,"CENTRUM"
"DOBRUSKA",DOBRUS,CZ,5017.367N,01609.133E,0.0m,1,,,,"NADRAZI"
"DOLNI BUKOVSKO",DOLBUK,CZ,4910.250N,01434.850E,0.0m,1,,,,"KOSTEL"
"DOLNI CEREKEV",DOLCER,CZ,4920.733N,01527.400E,0.0m,1,,,,"KOSTEL"
"DOLNI DVORISTE",DOLDVO,CZ,4839.400N,01427.067E,617.0m,1,,,,"KOSTEL"
